title,tags,servings,ingredients,ingredient_quantities,steps,rating,review_count
bleu cheese burgers,"['meat', 'high protein', 'high in...', '< 30 mins', 'lunch/snacks']",4.0,"['lean ground beef', 'blue cheese', 'egg', 'black pepper', 'blue cheese', 'creamy bleu cheese sauce', 'tomatoes']","['1', '4', '1', '1/2', '1/2', '4', '4', '1']","['mix all meat ingredients into a bowl until combined. form 4 patties. wrap in plastic wrap and refrigerate for at least 30 minutes.', 'preheat the oven to 400 degrees f. line a baking sheet with parchment paper.', 'heat oil and butter in a large non-stick skillet over med-high heat. add burgers and sear to brown (about 2 minutes on each side).', 'place burgers onto cookie sheet and bake for 20 minutes until cooked throughout. serve with bleu cheese sauce on warmed buns. note: these burgers can also be cooked on the grill.']",5.0,8.0
tuna/swordfish steaks with thai dressing,"['asian', '< 15 mins', 'easy', 'tuna']",4.0,"['tuna steaks', 'swordfish steaks', 'lime juice', 'fish sauce', 'lemongrass', 'of fresh mint', 'fresh coriander', 'fresh ginger']","['4', '1/2', '1/3', '1', '2', '1/3', '2', '1']","['heat an oiled pan, add fish and cook 3-4 minutes a side, or until cooked as desired. tuna steaks are better pink in the middle and not overcooked, as they tend to become dry and quite tough.', 'combine all the other ingredients in a jar and shake until mixed.', 'note. you can adjust sweet chili and lime juice amounts e.g. more or less of each depending on your taste.', 'to serve place fish on plate drizzle with sauce and serve with salad greens on the side.']",5.0,5.0
"spicy sausage, mushroom, and swiss breakfast casserole","['pork', 'vegetable', 'meat', 'christmas', 'brunch', 'oven', '< 4 hours', 'breakfast']",8.0,"['mushrooms', 'onion', 'butter', 'sour cream', 'eggs', 'milk', 'swiss cheese', 'salt', 'pepper']","['1', '2 1/2', '1', '2', '1', '6', '2', '3', '6', '1/2', '1/4']","['brown sausage in a skillet. drain fat and set aside. saute onions and mushrooms in butter until onion is tender. mix in browned sausage.', 'place bread in a 9x13 pan. layer sausage mixture then cheese over the bread.', 'mix eggs, milk, sourcream, salt and pepper.', 'pour evenly over cheese. cover and refrigerate 6-24 hours.', 'in the morning bake uncovered for 50-60 minutes at 325* or until lighly browned and egg is set.']",4.5,5.0
creamy pesto chicken &amp; bow ties,"['chicken', 'poultry', 'meat', '< 30 mins', 'chicken breast']",4.0,"['bow tie pasta', 'butter', 'margarine', 'boneless chicken breast', 'pesto sauce', 'milk', 'half-and-half cream']","['3', '2', '1', '1', '1/2', '1/2']","['cook pasta according to package directions. drain.', 'meanwhile, heat butter in skillet, add chicken and season with s&p to taste cook throughly.', 'add your can of soup, pesto, and milk. bring to a boil and reduce heat and simmer for about 15min. stir in cooked drained pasta and heat through.', ""serve with garlic bread, salad and you're good to go.""]",5.0,6.0
chicken broccoli casserole,"['poultry', 'rice', 'vegetable', 'meat', 'kid friendly', 'potluck', 'weeknight', 'oven', 'freezer', '< 4 hours', 'chicken']",10.0,"['whole chickens', 'broccoli', 'frozen broccoli', 'mayonnaise', 'onion', 'cheddar cheese', 'salt', 'pepper']","['1', '1', '1', '1', '1', '2', '1/2', '1', '2', '1', '1/2']","['boil chicken in large pot of water until done.', 'remove and allow to cool.', 'meanwhile,cook broccoli in chicken water 5 minutes or until crisp/tender.', 'remove with slotted spoon and spread in 9x13 pan.', 'cook rice in broccoli/chicken water 20 minutes or until done.', 'drain rice and place in large mixing bowl.', 'add soups,mayonnaise, onion, salt, and pepper.', 'shred chicken into rice mixture and mix well.', 'layer over broccoli in pan.', 'top with cheese and bread crumbs.', 'bake at 350°f until cheese is melted and casserole is heated through,about 30-40 minutes .']",5.0,13.0
baked cranberry chicken,"['poultry', 'fruit', 'meat', 'kid friendly', '< 60 mins', 'oven', 'easy', 'inexpensive', 'chicken']",4.0,"['chicken breast halves', 'whole berry cranberry sauce', 'walnuts', 'orange marmalade']","['4', '1', '1/2', '1/2', '2']","['heat oven to 350ºf.', 'spray rectangular baking pan, 13 x 9 x 2 inches, with non-stick cooking spray.', 'mix cranberry, walnuts, marmalade and horseradish.', 'place chicken in pan and top with cranberry mixture.', 'cover and bake 35 to 40 minutes or until chicken is no longer pink when cut into.']",4.5,7.0
"homemade bulk italian sausage, chicago style","['meat', 'very low carbs', 'high protein', 'high in...', '< 15 mins', 'beginner cook', 'easy', 'pork']",3.0,"['salt', 'paprika', 'garlic powder', 'fennel seed', 'ground black pepper', 'red pepper flakes', 'oregano', 'sage', 'basil', 'thyme']","['1 1/2', '3 1/2', '2/3', '2/3', '1', '1/4', '1/2', '1/2', '1/2', '1/2', '1']","['blend together all of the ingredients with the exception of the ground pork until they are thoroughly and uniformly mixed.', 'with your clean hands blend the mixture of seasonings into the ground pork until it is well and uniformly blended inches', 'place the sausage in the refrigerator overnight in a covered container so that the flavors can blend before use.', 'when i make i usually use 1/3 of it rather quickly on a deep dish pizza and freeze the rest for later use.']",5.0,14.0
roast beef,"['meat', 'very low carbs', 'weeknight', 'stove top', '< 4 hours', 'easy', 'roast beef']",8.0,"['onion', 'brewed coffee', 'water', 'beef bouillon cube', 'dried basil', 'dried rosemary', 'garlic', 'salt', 'pepper', 'all-purpose flour']","['1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1/2', '1/4']","['brown roast on all sides in a dutch oven.', 'add onion and cook until transparent.', 'add coffee, 3/4 cup water, bouillon, basil, rosemary, garlic, salt and pepper.', 'cover and simmer for 2-1/2 hours or until meat is tender.', 'combine flour and remaining water in a bowl stir as you add some of the liquid from the pan.', 'now pour this mixture into pan; cook and stir until thick.', 'slice and serve.']",5.0,32.0
carolina ham &amp; cheese melt,"['turkey breasts', 'ham', 'pork', 'poultry', 'cheese', 'meat', 'kid friendly', '< 30 mins', 'beginner cook', 'easy', 'lunch/snacks']",4.0,"['butter', 'dijon mustard', 'worcestershire sauce', 'onions', 'poppy seeds', 'cooked ham', 'deli ham', 'swiss cheese', 'cheddar cheese']","['2', '2', '1 -2', '1/2', '2', '2', '4', '8', '4', '3/4']","['preheat oven to 350 degrees.', 'mix the butter, mustard, horseradish, worcestershire, onions and poppy seeds in a small bowl.', 'lightly spread the mixture on both sides of the cut roll (do not use it all yet). place ham on bottom slices, add a little more dressing to the top of the ham and top with mounds of grated cheese. put the tops on each one.', 'wrap the sandwiches individully in foil and place in a 350 degree oven for 25-30 minutes or until cheese melts.']",5.0,8.0
cinnamon maple scones,"['quick breads', 'breads', 'breakfast', 'high in...', '< 60 mins', 'scones']",8.0,"['all-purpose flour', 'baking powder', 'salt', 'white sugar', 'ground cinnamon', 'maple syrup', 'soymilk', 'butter', 'eggs', 'walnuts']","['3', '1 1/2', '3/4', '1/4', '1', '1/4', '1/3', '1/2', '2', '1/2']","['preheat the oven to 375°f', 'grease and flour a cookie sheet.', 'combine the flour, baking powder, cinnamon, sugar, and salt in a mixing bowl and blend with a whisk.', 'cut in butter with a pastry blender or two knives.', 'in a separate bowl beat the eggs; mix in milk and maple syrup.', 'make a well in the center of the dry ingredients and add the wet ingredients all at once. stir in nuts.', 'gather the dough into a ball and roll out between two pieces of waxed paper forming a circle 1/2 to 1-inches thick.', 'cut into 8 pie shaped pieces and place on the prepared cookie sheet.', 'sprinkle sugar and cinnamon onto the 8 scones.', 'bake for 20 minutes.']",4.5,8.0
shrimp &amp; broccoli in chili sauce (9 ww pts),"['vegetable', 'asian', 'healthy', 'stir fry', '< 4 hours', 'lunch/snacks']",4.0,"['medium shrimp', 'dry sherry', 'paprika', 'garlic cloves', 'water', 'chili sauce', 'cornstarch', 'sugar', 'salt', 'broccoli florets']","['1 1/2', '2', '2', '1 1/2', '1/2', '4', '1/3', '1/4', '2', '2', '1/2', '1', '3', '4']","['combine the first 6 ingredients in a medium bowl, cover and chill for 1 hour combine water and next 5 ingredients (water through salt) in a bowl, set aside heat oil in a stir fry pan or wok over medium-high heat.', 'add broccoli, stir fry 2 minutes.', 'add shrimp mixture, stir fry 5 minutes or until shrimp are done.', 'add cornstarch mixture, and bring to a boil.', 'cook 1 minute or until sauce thickens.', 'serve over soba noodles.', 'serving size is 1 cup stir fry and 1 cup noodles.']",5.0,12.0
pork chops a la dijon,"['meat', 'high protein', 'high in...', '< 60 mins', 'easy', 'pork']",4.0,"['boneless pork chops', 'dijon mustard', 'lemon juice', 'capers']","['4', '1/2', '3', '3', '1']","['heat oven to 375.', 'trim all visible fat from chops.', 'spray 13x9 pan with non-stick cooking spray.', 'put bread crumbs in one dish.', 'in another dish combine the mustard, lemon juice, and capers.', 'dip both sides of the chops in mustard mixture then in bread crumbs.', 'place chops in baking pan and bake at 375 for 30 to 40 min.', 'until pork is no longer pink, turning once about half way through.']",5.0,14.0
corn frittata with cheese,"['cheese', 'european', 'brunch', '< 30 mins', 'breakfast']",4.0,"['eggs', 'fresh basil', 'dried basil', 'olive oil', 'frozen whole kernel corn', 'zucchini', 'green onions', 'roma tomato', 'cheddar cheese']","['8', '1', '1', '1', '1/2', '3 -4', '3/4', '1/2']","['in a medium bowl, combine the eggs and basil; set aside.', 'heat the oil in a large oven proof skillet.', 'add the corn, zucchini, and green onions.', 'cook and stir for 3 minutes; add tomatoes and cook uncovered over medium heat about 5 additional minutes or until the vegetables are crisp-tender.', 'pour the egg mixture over vegetables in skillet and cook over medium heat.', 'as the mixture sets, run a spatula around edge of skillet, lifting egg mixture so uncooked portion runs underneath.', 'continue cooking and lifting edges until egg mixture is almost set, the surface of the frittata will be moist.', 'sprinkle with cheese and place the skillet under broiler 4 to 5 inches from heat.', 'broil 1 to 2 minutes or until the top is set and cheese is melted.']",5.0,8.0
stuart anderson's black angus baked potato soup,"['vegetable', 'low protein', '< 60 mins', 'inexpensive', 'potato']",4.0,"['butter', 'margarine', 'onion', 'flour', 'chicken broth', 'baking potato', 'salt', 'dried basil', 'white pepper', 'black pepper', 'tabasco sauce', 'half-and-half', 'low-fat milk']","['3', '1', '2', '1', '1', '1/2', '1', '1/4', '1/4', '1', '1/2', '1']","['melt butter on medium heat.', 'add onion and saute for 2 minutes, being careful not to brown the onions.', 'sprinkle flour over the onions and cook about 5 minutes, stirring often.', 'gradually add chicken broth.', 'add potatoes, salt, basil, white and black pepper, tabasco and garlic salt.', 'bring to a boil, reduce heat to low and simmer 20-25 minutes, or until potatoes are tender, stirring occasionally.', 'stir in half& half; heat through.', 'garnish with grated cheddar cheese, cooked& crumbled bacon, a dollop of sour cream and finely sliced green onion.']",5.0,17.0
balsamic-braised pot roast,"['meat', 'weeknight', '< 4 hours', 'stew']",6.0,"['dry red wine', 'sugar', 'olive oil', 'kosher salt', 'ground black pepper', 'red onions', 'garlic', 'diced tomatoes', 'dark raisin', 'lemons, zest of', 'beef broth', 'kalamata olive', 'parsley', 'lemon, zest of', 'orzo pasta']","['3/4', '1/2', '1', '1', '2 1/4', '1', '1', '2', '2', '1', '1/2', '4', '1', '1/3', '1/4', '1', '1']","['preheat oven to 325 degrees.', 'stir together the wine, vinegar and sugar; set aside.', 'heat the olive oil in a heavy dutch oven over medium heat.', 'while the pan is heating, dry the meat with paper towels.', 'sprinkle with about 1/2 teaspoon each salt and pepper.', 'place in the pot and brown well, about 8 minutes per side.', 'remove from the pan.', 'turn the heat to medium-low.', 'put the onions into the pan and sauté until translucent and golden, about 10 minutes.', 'add the garlic; sauté 1 minute.', 'stir in the wine mixture.', 'bring to a boil and continue cooking at a low boil 3 minutes.', 'stir in the undrained tomatoes, raisins, strips of lemon zest and beef broth.', 'bring to a boil, reduce the heat and simmer 5 minutes.', 'put the pot roast back into the pan.', 'bring the liquid back to a simmer, cover and place on center oven rack of preheated oven.', 'cook 1 hour.', 'turn the meat, recover and continue cooking about 1 1/2 hours longer, or until the meat is very tender, offering little resistance when pierced with a fork.', 'while the meat is cooking, put the olives, parsley and grated lemon zest on a cutting surface and chop together finely.', 'refrigerate until ready to use.', 'remove the roast from the oven.', 'transfer the meat to a cutting surface and cover with a piece of aluminum foil.', 'degrease the cooking juices.', 'purée about 1 1/2 cups and pour back into the remaining juices.', 'add more salt and pepper if needed.', 'cut the meat across the grain in thin slices.', 'put into the sauce.', 'keep warm on low heat.', 'cook the pasta according to package directions.', 'drain well.', 'pour into a large serving bowl.', 'toss with the olive mixture and some of the sauce.', 'spoon onto serving plates along with the meat.', 'serve extra sauce to the side.', 'note: use a vegetable peeler to remove strips of the lemon zest, removing only the yellow part of the peel.']",5.0,12.0
marinated tomatoes,"['vegan', 'summer', 'beginner cook', 'easy', 'inexpensive', 'vegetable']",6.0,"['fresh parsley leaves', 'sugar', 'seasoning salt', 'ground pepper', 'dried thyme', 'red wine vinegar', 'green onions', 'tomatoes']","['3', '1', '1 1/2', '1 1/2', '1/2', '3/4', '3/4', '1/2', '2 -3', '4 -6']","['combine all ingredients, except tomatoes, in a large measuring cup or mixing bowl.', 'whisk well.', 'place tomatoes in a resealable plastic bag and pour marinade over.', 'marinate at room temperature for up to 2 hours, turning the bag occasionally.']",5.0,5.0
traditional swedish pancakes,"['swedish', 'scandinavian', 'european', 'toddler friendly', 'kid friendly', 'brunch', '< 15 mins', 'stove top', 'easy', 'inexpensive', 'breakfast']",4.0,"['eggs', 'low-fat milk', 'flour', 'salt', 'butter', 'margarine']","['3', '2 1/2', '1 1/4', '1/2', '3']","['in a large mixing bowl, beat the eggs with half the milk.', 'beat in flour and salt until smooth.', 'stir in melted butter and remaining milk.', 'heat a griddle or large skillet with a small amount of vegetable oil.', 'for each pancake, pour about 1/4 cup batter onto the griddle and cook over medium heat 1 to 2 minutes.', 'with a spatula, turn the pancakes and cook until golden brown, about 1/2 minute.', 'serve immediately or keep warm while making the remaining pancakes.']",4.5,31.0
indian spiced rice,"['lunch/snacks', 'white rice', 'long grain rice', 'rice', 'lentil', 'beans', 'fruit', 'vegetable', 'asian', 'indian', 'vegan', 'low cholesterol', 'healthy', '< 60 mins', 'beginner cook', 'stove top', 'easy', 'inexpensive', 'one dish meal']",6.0,"['canola oil', 'onion', 'garlic', 'coriander powder', 'ground cardamom', 'ground nutmeg', 'red chili powder', 'ground cumin', 'long-grain rice', 'salt', 'dry lentils', 'water', 'potato', 'green bell peppers', 'red bell pepper', 'green peas', 'raisins', 'butter']","['1', '1', '1', '1', '1/2', '1/2', '1/4', '1/8', '1/2', '1 1/4', '3/4', '1/2', '3', '1', '1', '1/2', '3', '1']","['in a large skillet or saucepan, heat the oil over medium heat.', 'add the onions, and cook, stirring frequently until they have softened.', 'sprinkle in the ginger, garlic, coriander, cardamom, nutmeg, red chili powder, and cumin.', 'cook for 3 minutes more, stirring frequently.', 'add the rice to the saucepan and saute the rice with the spices for 2 minutes, stirring constantly.', 'now add the lentils and salt into the saucepan.', 'add 3 cups of water into the pan, stir.', 'place the potatoes into the pan.', 'bring the mixture to a boil, cover the pan and turn the heat to low.', 'cook for 10 minutes.', 'place the bell pepper, peas, and raisins into the saucepan.', 'stir well, then cover the pan again.', 'cook 10 minutes more, or until the rice, potatoes, and lentils are tender.', 'stir in the butter, if desired.', 'serve hot and enjoy.']",4.5,16.0
carrots au gratin,"['< 30 mins', 'oven', 'easy', 'vegetable']",6.0,"['carrots', 'cheddar cheese', 'butter']","['3', '1', '1', '1/4', '1']","['heat oven to 350f degrees.', 'butter 1qt.', 'casserole.', 'combine carrots, soup, and cheese.', 'pour into casserole.', 'combine breadcrumbs and butter.', 'sprinkle over carrots.', 'bake uncovered for 25 minutes.']",5.0,9.0
cranberry baked pancakes-arsenic and old lace b&amp;b inn,"['apple', 'fruit', 'winter', 'christmas', '< 60 mins', 'breakfast']",6.0,"['butter', 'granny smith apple', 'cranberries', 'maple syrup', 'ground cinnamon']","['1 1/2', '1', '1', '1/3', '3', '1/2']","['heat oven to 350 degrees.', 'prepare pancake mix according to package directions and set aside.', 'pour melted butter in 9"" pie plate. place apple slices in bottom of pie plate; arrange cranberries on top of apples.', 'sprinkle cinnamon and drizzle syrup over apples; carefully pour batter on top.', 'bake at 350 degrees for 30-35 minutes or until top springs back when touched. loosen edges and invert onto serving plate. cut in wedges and serve with warm maple syrup or fresh apple butter.']",5.0,5.0
skillet chicken with black beans and rice,"['brown rice', 'poultry', 'rice', 'meat', 'tex mex', 'southwestern u.s.', 'low cholesterol', 'healthy', '< 30 mins', 'beginner cook', 'stove top', 'easy', 'inexpensive', 'chicken']",4.0,"['chicken breasts', 'olive oil', 'garlic cloves', 'water', 'canned black beans', 'salsa', 'frozen corn', 'brown rice', 'table salt', 'ground black pepper']","['2', '1', '2', '1', '1', '1/2', '1/2', '2', '1/8', '1/8']","['slice the chicken breasts at an angle to make 1/2-3/4 inch thick slices.', 'preaheat olive oil on skillet to medium high.', ""just as the olive oil starts to 'smoke' reduce heat to medium and add the garlic."", 'quickly stir until the garlic is just aromatic (15-20 seconds) and add chicken.', 'continue to cook on medium heat until the chicken is cooked through and slightly browned.', 'remove the chicken from skillet and set aside.', 'add 1 tbsp water to the skillet and scrap until the drippings are glazed.', 'in the same skillet combine the black beans, corn, and salsa and heat on low/medium-low until warm.', 'serve the chicken on a bed of rice with the black beans & salsa mix on the side.']",5.0,6.0
hg's fiber-ific fried chicken strips - ww points = 5,"['chicken breast', 'chicken', 'poultry', 'meat', '< 30 mins', 'oven', 'beginner cook', 'small appliance', 'easy', 'lunch/snacks']",1.0,"['boneless skinless chicken breasts', 'fat free egg substitute', 'black pepper']","['6', '1/2', '1/4', '1/4', '1/8']","['preheat the oven to 375 degrees.', 'using a blender or food processor, grind the cereal to a breadcrumb-like consistency.  add garlic salt and black pepper to crumbs.  place crumbs in one small dish and egg substitute in another.', 'next, coat raw chicken - first with egg and then with crumbs.  place strips on a baking pan sprayed with nonstick spray.  add a light mist of nonstick spray on top and place in the oven.', 'cook for 10 minutes and then turn strips over.  spritz with another light mist of nonstick spray and cook for an additional 7 to 10 minutes, until chicken is fully cooked and crumb coating looks crispy.  enjoy!']",4.5,5.0
ultimate nachos,"['pork', 'meat', 'mexican', '< 30 mins', 'easy', 'lunch/snacks']",4.0,"['corn tortilla chips', 'cheddar cheese', 'sausage', 'sour cream', 'tomatoes', 'avocado']","['5', '2', '8', '2', '2', '1', '1']","['preheat oven to 400°f', 'spread chips on an oven proof plate, top with sausage and cheese.', 'bake until cheese melts, about 10 minutes.', 'top with remaining ingredients.']",5.0,10.0
gourmet magazine's asian cucumber ribbon salad,"['chinese', 'japanese', 'korean', 'asian', 'lactose free', 'kosher', 'free of...', 'spring', 'summer', 'savory', '< 15 mins', 'beginner cook', 'stove top', 'easy', 'vegetable']",4.0,"['seasoned rice vinegar', 'sugar', 'soy sauce', 'english cucumbers']","['1/4', '1/2', '1', '1/2', '1 1/2']","['bring vinegar and sugar to a simmer, stirring until sugar is dissolved, then cool to room temperature. stir in soy sauce and sesame oil.', 'cut cucumber lengthwise into 1/8-inch-thick ribbons using a mandoline or other manual slicer. toss cucumber with dressing and let stand 5 minutes before serving.']",5.0,9.0
crispy eggplant,"['summer', 'savory', '< 60 mins', 'easy', 'vegetable']",4.0,"['mayonnaise', 'onion', 'salt', 'parmesan cheese', 'eggplant']","['1/2', '1', '1/4', '1/3', '1/3', '2', '1']","['mix first 3 ingredients and set aside.', 'mix crumbs, parmesan and italian seasoning together and set aside.', 'wash and dry eggplant and slice into 1/2 inch slices.  spread each slice with mayonnaise mixture on both sides and roll in crumb mixture on both sides.', 'place on a baking sheet and bake at 425º for 15 minutes or until lightly browned.']",5.0,27.0
three-cheese fondue with champagne,"['swiss', 'european', 'spring', 'summer', 'winter', '< 30 mins', 'cheese']",2.0,"['cornstarch', 'fresh lemon juice', 'shallot', 'gruyere cheese', 'camembert cheese', 'ground nutmeg', 'white pepper', 'baguette']","['4', '1', '1 1/4', '1', '2', '1 1/3', '1/2', '1', '1', '1']","['stir cornstarch and lemon juice in small bowl until cornstarch dissolves; set aside.', 'combine champagne and shallot in fondue pot or heavy medium saucepan; simmer over medium heat 2 minutes.', 'remove pot from heat.', 'add all cheeses and stir to combine.', 'stir in cornstarch mixture.', 'return fondue pot to medium heat and stir until cheeses are melted and smooth and fondue thickens and boils, about 12 minutes.', 'season fondue with nutmeg and white pepper.', 'place over candle or canned heat burner to keep warm.', 'serve with bread cubes.']",5.0,24.0
saucy carrots,"['low protein', '< 15 mins', 'beginner cook', 'easy', 'vegetable']",2.0,"['carrots', 'yellow mustard', 'brown sugar', 'light corn syrup', 'butter', 'salt']","['5', '1', '1/8', '1/2', '1', '1/8']","['slice carrot into rounds or chunks.', 'cover with salted water in saucepan, bring to a boil.', 'simmer 10 minutes or until tender.', 'drain.', 'meanwhile, combine remaining ingredients in small saucepan.', 'heat over medium, stirring constantly until blended.', 'pour sauce over carrots and gently toss.']",5.0,16.0
broiled salmon with cilantro and lime,"['< 60 mins', 'oven', 'easy', 'broil/grill']",4.0,"['cilantro leaf', 'garlic clove', 'lime juice', 'olive oil', 'salt', 'salmon steaks']","['1/2', '1', '2', '1', '1/2', '4']","['place fish on plate.', 'combine cilantro, garlic, lime juice, oil and salt in a bowl.', 'set 2 tablespoons aside in a separate bowl.', 'pour the cilantro mixture over the fish (do not use the 2 tbsp reserved marinade).', 'cover and let it sit 10 minutes.', 'spray broiler rack with nonstick cooking spray.', 'place salmon on rack and brush with 1 tablespoon marinade.', 'broil 6"" from heat about 3-4 minutes.', 'turn steaks over and brush with remaining tablespoon of marinade.', 'broil 3 more minutes or until cooked through.', 'note: i have used two very thick salmon steaks instead of the four 3/4 inch thick ones that the recipe calls for, and i have used the same amount of marinade.', 'however, since thicker steaks will take longer to cook, the marinade can burn.', 'to compensate for this, i add a little bit of marinade at a time.', 'for example, if the salmon steaks are 1- 1 1/2 inch thick or more, they can take around 10 minutes to cook.', 'so i brush the salmon steaks with less marinade, around 1/2 tablespoon.', 'i then remove them from the broiler after 2 1/2- 3 minutes, and add a little more marinade, reserving enough for two more applications.', 'then i broil for another 2 1/2 minutes.', 'i then turn the salmon over and add more marinade, still reserving a little.', 'i broil another 2 1/2 minutes.', 'i then add the remaining marinade and broil the remaining 2 1/2 minutes or until cooked through.', ""this may seem tiresome, but it's well worth it."", ""the marinade is great and you definitely don't want it to burn!""]",5.0,14.0
pamela's pancakes - gluten free,"['free of...', '< 15 mins', 'easy', 'breakfast']",6.0,"['egg', 'water']","['1', '1', '3/4', '1']","['mix all ingredients until there are no lumps.', 'batter should not be too thick or too thin - add more baking mix or water as necessary.', 'pour 1/4 cup batter onto a pre-heated, lightly greased griddle (medium low heat or 350 degrees for an electric griddle), flip once.', 'serve immediately.', 'extra pancakes can be cooled, then wrapped in plastic and frozen.', 'to reheat, remove any wrapping, and microwave pancakes wrapped in a paper towel about 1 minute.']",5.0,8.0
ham &amp; broccoli stromboli,"['lunch/snacks', 'ham', 'pork', 'meat', 'brunch', '< 30 mins', 'oven', 'beginner cook', 'easy', 'one dish meal']",4.0,"['broccoli', 'cooked ham', 'cheddar cheese']","['1', '1', '1', '2', '1']","['preheat oven to 400 degrees.', 'unroll dough onto greased baking sheet.', 'set aside.', 'mix soup, broccoli and ham.', 'spread soup mixture down center of dough.', 'top with cheese.', 'fold long sides of dough over filling and pinch and seal.', 'pinch short sides to seal.', 'bake 20 minutes or until golden brown.', 'slice and serve.']",5.0,5.0
lemon green beans,"['fruit', 'vegetable', 'canadian', 'low protein', 'low cholesterol', 'healthy', 'kid friendly', 'free of...', '< 30 mins', 'steam', 'stove top', 'easy', 'inexpensive', 'lunch/snacks']",4.0,"['green beans', 'water', 'lemon juice', 'unsalted butter', 'lemon, rind of', 'fresh parsley']","['1', '2', '2', '4', '1', '1']","['place beans in a steamer basket over boiling water.', 'cover saucepan and steam 5-7 minutes or until green beans are tender; rinse under cold water and drain.', 'combine water and lemon juice in a heavy nonstick skillet over medium heat.', 'simmer 2-3 minutes or until reduced by half; stir in butter.', 'add green beans and lemon peel; simmer 3-4 minutes or until green beans are heated throughout.', 'remove from heat; add parsley and salt to taste and toss.']",4.5,8.0
szechuan chicken,"['poultry', 'fruit', 'vegetable', 'nuts', 'meat', 'chinese', 'asian', '< 30 mins', 'stove top', 'stir fry', 'easy', 'chicken']",4.0,"['skinless chicken breast half', 'soy sauce', 'dry sherry', 'cornstarch', 'fresh ginger', 'sugar', 'crushed red pepper flakes', 'green onions', 'green pepper']","['1', '2', '2', '2', '2', '1/4', '1/4', '2', '6', '1', '1', '1/4']","['with knife held in slanting position, almost parallel to cutting surface, cut each chicken breast half crosswise into 1/2-inch thick slices.', 'in medium bowl, combine soy sauce, sherry, cornstarch, ginger, sugar, and crushed red pepper; add chicken, tossing to coat.', 'in wok or large non-stick skillet, heat 1 tablespoon oil over medium-high heat until very hot.', 'add green onions and red and green peppers and cook, stirring frequently, until vegetables are tender-crisp, 2 to 3 minutes.', 'with slotted spoon transfer vegetables to bowl.', 'increase heat to high and add remaining 1 tablespoon oil to skillet; heat until very hot.', 'add chicken mixture and stir-fry until chicken looses its pink color throughout, 2 to 3 minutes.  (i suggest cutting one of the larger pieces to make sure it is cooked through.).', 'return vegetables to pan; heat through.', 'to serve, transfer chicken and vegetables to warm platter and sprinkle with peanuts.']",5.0,14.0
perfect boiled custard,"['dessert', 'european', 'kid friendly', 'kosher', '< 30 mins', 'beginner cook', 'stove top', 'easy', 'inexpensive', 'sauces']",4.0,"['eggs', 'sugar', 'all-purpose flour', 'salt', 'milk', 'vanilla extract']","['2', '1/4', '1 1/2', '1/8', '2', '1/2']","['beat eggs in top of a double boiler on medium speed of an electric mixer until frothy.', 'combine sugar, flour, and salt; stirring well; gradually add to eggs, beating until thick.', 'gradually stir about one-fourth of hot milk into egg mixture; add remaining milk, stirring constantly.', 'bring water in bottom of double boiler to a boil.', 'reduce heat to low; cook, stirring occasionally, 20 minutes, or until custard thickens and coats a metal spoon.', 'stir in vanilla.', 'pour custard into serving bowl and chill.']",5.0,6.0
"citrus-spice caribbean/cuban marinade for pork, beef, chicken","['low protein', '< 15 mins', 'beginner cook', 'easy', 'caribbean']",4.0,"['olive oil', 'lime juice', 'garlic cloves', 'onion', 'ground black pepper', 'ground cumin', 'salt', 'ground ginger', 'nutmeg', 'cinnamon', 'ground cloves', 'chili powder']","['1/4', '2', '2', '2 -4', '1/2', '2', '1', '1', '1', '1/2', '1/2', '1', '1']","['combine all ingredients in a heavy-duty ziploc bag or glass pan.', 'add your choice of pork, beef, chicken or fish.', 'marinate for at least two hours.', 'prepare in your preferred method of cooking.']",5.0,10.0
arroz mexicana  (mexican rice),"['rice', 'mexican', 'low cholesterol', 'healthy', '< 60 mins', 'easy', 'white rice']",8.0,"['onion', 'olive oil', 'garlic clove', 'carrot', 'raw rice', 'dried ancho chile powder', 'cumin', 'tomatoes', 'broth', 'peas', 'corn', 'green peppers', 'oregano']","['1', '1', '1', '1', '2', '2', '2', '1/2', '3 1/2', '1/4', '1/4', '2', '1']","['saute onion in oil until soft. add garlic and carrot, cook for 3 minutes.', 'stir in rice, cook until light golden, sprinkle with chili powder and cumin. cook for 5 minutes.', 'add remaining ingredients and bring to a boil. cover, reduce heat, simmer over low for 20 minutes or until rice is tender.']",5.0,16.0
peruvian potatoes with avocado dip,"['avocado', 'vegetable', 'peruvian', 'south american', 'low protein', 'low cholesterol', 'spicy', '< 60 mins', 'potato']",8.0,"['olive oil', 'chili powder', 'paprika', 'cumin', 'fingerling potatoes', 'avocados', 'sour cream', 'fresh cilantro', 'lime juice']","['2', '1 1/2', '1', '1', '1', '1 1/2', '2', '1/4', '2', '1', '1']","['preheat oven to 400°f', 'stir together oil and dry seasonings in a large bowl. add potatoes and stir well to coat with mixture. place on a large baking sheet and cook for 40 to 50 minutes (golden brown and tender when poked with fork), stirring occasionally.', 'stir together all the dip ingredients in medium bowl.', 'serve warm potatoes and avocado dip together.']",5.0,6.0
